Year,Month_Num,Month,YearMonth,Count,Vehicle_Class
2016,7,July,2016-07,25956.0,Class 11
2016,7,July,2016-07,230404.0,Class 2
2016,7,July,2016-07,71094.0,Class 3
2016,7,July,2016-07,55242.0,Class 4
2016,7,July,2016-07,230783.0,Class 5
2016,7,July,2016-07,5158.0,Class 6
2016,7,July,2016-07,16825.0,Class 7
2016,7,July,2016-07,97943.0,Class 8
2016,7,July,2016-07,161457.0,Class 9
2016,8,August,2016-08,9778966.0,Class 1
2016,8,August,2016-08,27207.0,Class 11
2016,8,August,2016-08,250777.0,Class 2
2016,8,August,2016-08,78008.0,Class 3
2016,8,August,2016-08,60292.0,Class 4
2016,8,August,2016-08,248806.0,Class 5
2016,8,August,2016-08,5572.0,Class 6
2016,8,August,2016-08,17035.0,Class 7
2016,8,August,2016-08,98035.0,Class 8
2016,8,August,2016-08,170285.0,Class 9
2016,9,September,2016-09,9063734.0,Class 1
2016,9,September,2016-09,25939.0,Class 11
2016,9,September,2016-09,240044.0,Class 2
2016,9,September,2016-09,74166.0,Class 3
2016,9,September,2016-09,57971.0,Class 4
2016,9,September,2016-09,235951.0,Class 5
2016,9,September,2016-09,5941.0,Class 6
2016,9,September,2016-09,15603.0,Class 7
2016,9,September,2016-09,90219.0,Class 8
2016,9,September,2016-09,157193.0,Class 9
2016,10,October,2016-10,9240219.0,Class 1
2016,10,October,2016-10,20649.0,Class 11
2016,10,October,2016-10,236192.0,Class 2
2016,10,October,2016-10,74619.0,Class 3
2016,10,October,2016-10,60048.0,Class 4
2016,10,October,2016-10,237417.0,Class 5
2016,10,October,2016-10,6007.0,Class 6
2016,10,October,2016-10,15405.0,Class 7
2016,10,October,2016-10,92992.0,Class 8
2016,10,October,2016-10,159992.0,Class 9
2016,11,November,2016-11,8904742.0,Class 1
2016,11,November,2016-11,15843.0,Class 11
2016,11,November,2016-11,232900.0,Class 2
2016,11,November,2016-11,73776.0,Class 3
2016,11,November,2016-11,60210.0,Class 4
2016,11,November,2016-11,236326.0,Class 5
2016,11,November,2016-11,6622.0,Class 6
2016,11,November,2016-11,14903.0,Class 7
2016,11,November,2016-11,86727.0,Class 8
2016,11,November,2016-11,153683.0,Class 9
2016,12,December,2016-12,9150251.0,Class 1
2016,12,December,2016-12,11211.0,Class 11
2016,12,December,2016-12,232530.0,Class 2
2016,12,December,2016-12,75242.0,Class 3
2016,12,December,2016-12,57142.0,Class 4
2016,12,December,2016-12,236664.0,Class 5
2016,12,December,2016-12,6430.0,Class 6
2016,12,December,2016-12,13830.0,Class 7
2016,12,December,2016-12,88357.0,Class 8
2016,12,December,2016-12,155088.0,Class 9
2017,1,January,2017-01,8279628.0,Class 1
